Descricao;TotalPagoRap
ADMINISTRAÇÃO;653660721,63
AGRICULTURA;195551312,28
ASSISTÊNCIA SOCIAL;219582380,89
CIÊNCIA E TECNOLOGIA;68808284,29
COMÉRCIO E SERVIÇOS;17920204,62
COMUNICAÇÕES;30036464,62
CULTURA;38245283,56
DESPORTO E LAZER;20290022,94
DIREITOS DA CIDADANIA;478127992,05
EDUCAÇÃO;1909955558,01
ENCARGOS ESPECIAIS;1423497688,7
ENERGIA;1874195,47
ESSENCIAL À JUSTIÇA;53068475,81
GESTÃO AMBIENTAL;50062123,05
HABITAÇÃO;7694278,23
INDÚSTRIA;2048455,86
PREVIDÊNCIA SOCIAL;2278724906,13
SANEAMENTO;42321211,66
SAÚDE;2432061760,04
SEGURANÇA PÚBLICA;1890057291,12
TRABALHO;6201291,07
TRANSPORTE;461049477,47
URBANISMO;37080232,75
